loan_id,payments,balance_mean,balance_min,reached_negative_balance,unknown_sum,sanctions_mean,sanctions_sum,sanctions_count,sanctions_std,credit_cash_max,credit_cash_std,col_another_bank_mean,col_another_bank_sum,col_another_bank_max,col_another_bank_std,col_another_bank_min,interest_mean,interest_min,rem_another_bank,rem_another_bank_mean,rem_another_bank_sum,rem_another_bank_max,rem_another_bank_min,mean_trans_profit,credit_ratio,withdrawal_ratio,ratio_credit_cash,ratio_rem_another_bank,owner_count,disponent_count,salary_mth_calc,real_mth_income,ratio_withd_credit_mth,real_income_to_payments_ratio,log_sanctions_std,status
5314,8033,12250.0,1100.0,1.0,20100.0,0.0,0.0,0.0,0.0,9900.0,3774.8068383251966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5025.0,1.0,0.0,1.0,0.0,1,1,5025.0,5025.0,0.0,0.6255446284078178,0.0,-1
5316,4610,52083.85945945945,700.0,1.0,62612.0,0.0,0.0,0.0,0.0,36574.0,13044.711944680763,0.0,0.0,0.0,0.0,0.0,168.54000000000002,2.9,8.0,-2682.375,-21459.0,-956.0,-4167.0,4638.918823529411,0.4594594594594595,0.5405405405405406,0.32432432432432434,0.21621621621621623,1,1,4638.918823529411,4291.668823529411,-0.6569648494064865,0.9309476840627791,0.0,1
6863,2118,30060.954166666666,800.0,1.0,27534.0,0.0,0.0,0.0,0.0,3700.0,2050.609665440988,13981.0,69905.0,19065.0,2842.0423994022326,12710.0,92.625,48.6,3.0,-2824.3333333333335,-8473.0,-66.0,-7936.0,-1087.2666666666664,0.625,0.375,0.08333333333333333,0.125,1,1,-1087.2666666666664,-1748.6,-1.2170308466185824,-0.8255901794145419,0.0,1
5325,2939,41297.48,1000.0,1.0,47508.0,0.0,0.0,0.0,0.0,3900.0,2050.609665440988,19101.333333333332,114608.0,26448.0,3599.1169287294165,17632.0,160.36,132.8,2.0,-6994.0,-13988.0,-6994.0,-6994.0,2086.500000000001,0.52,0.48,0.08,0.08,1,1,2086.500000000001,1503.6666666666674,-0.7745445508179716,0.5116252693659977,0.0,1
7240,4579,57188.211111111115,600.0,1.0,40788.0,0.0,0.0,0.0,0.0,600.0,0.0,45764.333333333336,274586.0,63366.0,8623.020391177713,42244.0,190.1833333333333,77.1,3.0,-6584.666666666667,-19754.0,-756.0,-9499.0,4454.93076923077,0.48148148148148145,0.5185185185185185,0.037037037037037035,0.1111111111111111,1,1,4454.93076923077,4391.93076923077,-0.7904146933109347,0.9591462697599411,0.0,1
6687,3660,46318.552941176466,500.0,1.0,42615.0,0.0,0.0,0.0,0.0,2100.0,1131.370849898476,24703.75,98815.0,32938.0,5489.5,21959.0,154.10000000000002,51.3,0.0,0.0,0.0,0.0,0.0,-12268.014285714286,0.8235294117647058,0.17647058823529413,0.11764705882352941,0.0,2,2,-12268.014285714286,-12268.014285714286,-2.6732185200267318,-3.351916471506635,0.0,1
7284,4399,22198.179069767444,1000.0,1.0,22465.0,0.0,0.0,0.0,0.0,11427.0,2970.803115043413,0.0,0.0,0.0,0.0,0.0,90.25714285714287,43.9,8.0,-1556.5,-12452.0,-506.0,-2607.0,1151.5017316017315,0.4883720930232558,0.5116279069767442,0.32558139534883723,0.18604651162790697,1,1,1151.5017316017315,1109.3350649350648,-0.7324601441433033,0.25217891905775514,0.0,1
6111,7281,37485.456249999996,1000.0,1.0,75937.0,0.0,0.0,0.0,0.0,47436.0,16555.2435384739,0.0,0.0,0.0,0.0,0.0,169.51999999999998,77.8,0.0,0.0,0.0,0.0,0.0,3633.7999999999993,0.5,0.5,0.34375,0.0,1,1,3633.7999999999993,3246.2999999999993,-0.7283109717118323,0.44585908529048196,0.0,-1
7235,3217,46715.80000000001,8897.0,1.0,52601.0,0.0,0.0,0.0,0.0,39098.0,12481.90283570578,0.0,0.0,0.0,0.0,0.0,153.63333333333333,13.6,0.0,0.0,0.0,0.0,0.0,3337.675000000001,0.5,0.5,0.3125,0.0,1,1,3337.675000000001,3337.675000000001,-0.7074521292971878,1.0375116568231275,0.0,1
5997,4876,44131.16923076922,800.0,1.0,52620.0,0.0,0.0,0.0,0.0,800.0,0.0,29255.0,117020.0,29255.0,0.0,29255.0,143.375,45.1,0.0,0.0,0.0,0.0,0.0,-3145.166666666666,0.6923076923076923,0.3076923076923077,0.07692307692307693,0.0,1,1,-3145.166666666666,-3145.166666666666,-1.239088294543197,-0.6450300792999726,0.0,1
7121,609,34272.21333333334,1100.0,1.0,79356.5,0.0,0.0,0.0,0.0,21739.5,5353.916410434912,0.0,0.0,0.0,0.0,0.0,123.33333333333333,38.3,5.0,-6262.0,-31310.0,-6262.0,-6262.0,2989.1130952380954,0.4666666666666667,0.5333333333333333,0.26666666666666666,0.1111111111111111,2,2,2989.1130952380954,2467.279761904762,-0.6041821025118783,4.051362499022598,0.0,1
6077,3317,69954.57169811323,800.0,1.0,100965.0,0.0,0.0,0.0,0.0,800.0,0.0,46783.09090909091,514614.0,67124.0,6746.316334927461,44749.0,286.84000000000003,110.2,0.0,0.0,0.0,0.0,0.0,10186.142521994136,0.41509433962264153,0.5849056603773585,0.018867924528301886,0.0,1,1,10186.142521994136,10186.142521994136,-0.5676196307575349,3.0708901181773096,0.0,1
6228,7742,51760.01617647061,200.0,1.0,85831.0,0.0,0.0,0.0,0.0,47757.0,13519.476100997943,0.0,0.0,0.0,0.0,0.0,194.36666666666667,42.4,0.0,0.0,0.0,0.0,0.0,4961.7202266782915,0.45588235294117646,0.5441176470588235,0.3235294117647059,0.0,1,1,4961.7202266782915,4961.7202266782915,-0.6905801340548474,0.6408835219165967,0.0,-1
6356,2650,41562.32340425535,200.0,1.0,26451.0,0.0,0.0,0.0,0.0,35760.0,11287.986653620195,0.0,0.0,0.0,0.0,0.0,155.11111111111111,23.6,0.0,0.0,0.0,0.0,0.0,2511.470909090909,0.46808510638297873,0.5319148936170213,0.2765957446808511,0.0,1,1,2511.470909090909,2511.470909090909,-0.785465219670349,0.94772487135506,0.0,1
5523,2608,37510.494736842105,600.0,1.0,34045.0,0.0,0.0,0.0,0.0,5400.0,3394.1125496954282,15649.0,78245.0,15649.0,0.0,15649.0,154.28000000000003,48.0,0.0,0.0,0.0,0.0,0.0,-101.0142857142855,0.631578947368421,0.3684210526315789,0.10526315789473684,0.0,1,1,-101.0142857142855,-101.0142857142855,-1.0142580893635984,-0.03873247151621377,0.0,1
6456,3918,60382.08571428573,200.0,1.0,116013.0,0.0,0.0,0.0,0.0,47705.0,14171.932605883867,0.0,0.0,0.0,0.0,0.0,185.55,32.8,4.0,-14581.0,-58324.0,-14581.0,-14581.0,1635.5636363636368,0.5238095238095238,0.47619047619047616,0.3333333333333333,0.09523809523809523,1,1,1635.5636363636368,420.4803030303035,-0.8744873264374567,0.10732013859885235,0.0,1
